city,year,page,line_no,organization_name,category,sub_category,line,address,description
Kansas City,1874,46,8,RONE LODGE NO. 25 (COLORED),Benevolent and Fraternal,,"RONE LODGE NO. 25 (COLORED). Meets at their Hall, on Fourth, northwest corner Walnut, first Monday in each month; special meetings every third Monday evening. Thomas Pier- son, W. M.",,
Kansas City,1874,46,9,"PRITCHARD LODGE, No. 42 (COLORED)",Benevolent and Fraternal,,"PRITCHARD LODGE, No. 42 (COLORED). -Meets at their Hall, on Fourth, northwest corner Walnut, second Monday in each month. Special meetings every fourth Monday in each month. J. H. McLain, W. M.; Thomas Brasier, Acting Secre- tary.",,
Kansas City,1874,46,10,"E. BUTLER CHAPTER, U.D., R. A. M. (COLORED)",Benevolent and Fraternal,,"E. BUTLER CHAPTER, U.D., R. A. M. (COLORED).-Holds regular convocation at their Hall, northwest corner of Fourth and Walnut, on the first Thursday in each month. J. P. Pritchard, H. P.; H. H. Haden, Secretary.",,
Kansas City,1874,46,1,Knights of Pythias,Benevolent and Fraternal,,Knights of Pythias.,,
Kansas City,1874,46,3,GRAND LODGE OF MISSOURI,Benevolent and Fraternal,,"GRAND LODGE OF MISSOURI.-John P.Swygard, Grand Recording and Corresponding Scribe. Office, Main, southwest corner Ninth.",,
Kansas City,1874,46,4,HUMBOLDT LODGE. No. 4,Benevolent and Fraternal,,"HUMBOLDT LODGE. No. 4 (GERMAN). -Meets at their Hall, on Tuesday evening of each week. H. Felkel, C. C.; A. Damerle, K. of R. and S.",,
Kansas City,1874,46,5,"KANSAS CITY LODGE, No. 1",Benevolent and Fraternal,,"KANSAS CITY LODGE, No. 1.-Meets at their Hall, on Thursday evening of each week. Morris Schradzki, C: C; H. Н. Craig, K. of R. and S.",,
Kansas City,1874,46,6,"LUCAS LODGE, No. 9",Benevolent and Fraternal,,"LUCAS LODGE, No. 9.-Meets at their Hall, on Wednesday evening of each week. Samuel Latz, C. C.; M. Morgan, K. of R. and S.",,
Kansas City,1874,46,7,"KANSAS CITY LODGE, No. 257",Benevolent and Fraternal,,"KANSAS CITY LODGE, No. 257. Meets at their Hall, 529 Main, every Monday evening.",,
Kansas City,1874,46,8,"WYANDOTTE LODGE, No. 35",Benevolent and Fraternal,,"WYANDOTTE LODGE, No. 35. Meets every Tuesday eve- ning, at 7 o'clock, at their Hall, 529 Main.",,
Kansas City,1874,46,9,"LINCOLN LODGE, No. 173",Benevolent and Fraternal,,"LINCOLN LODGE, No. 173.-Meets every Friday evening, at 7 o'clock, at their Hall, No. 529 Main.",,
Kansas City,1874,46,10,"KANSAS CITY ENCAMPMENT, No. 27",Benevolent and Fraternal,,"KANSAS CITY ENCAMPMENT, No. 27. Meets on the second and fourth Thursdays of each month, at their Hall, 529 Main.",,
Kansas City,1874,46,11,"RISING STAR LODGE, No. 148",Benevolent and Fraternal,,"RISING STAR LODGE, No. 148. Hold regular meetings every Tuesday evening. B. W. Warner, W.AC. T.; Edward Flagler, W. Secretary; Chauncey Fairman, G. L. D.",,
